From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

#禁止通行区（阿里到印度）
1279;77;impassable;-1;-1;-1;-1;-1;;Himalayas
1279;3831;impassable;-1;-1;-1;-1;-1;;Himalayas
1279;2789;impassable;-1;-1;-1;-1;-1;;Himalayas
949;2789;impassable;-1;-1;-1;-1;-1;;Himalayas
949;2463;impassable;-1;-1;-1;-1;-1;;Himalayas
2789;4783;impassable;-1;-1;-1;-1;-1;;Himalayas
2789;4782;impassable;-1;-1;-1;-1;-1;;Himalayas
3831;4782;impassable;-1;-1;-1;-1;-1;;Himalayas
2463;4783;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（阿里到尼泊尔）
949;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
1003;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
3820;2473;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（日喀则到尼泊尔）
2705;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
2705;1693;impassable;-1;-1;-1;-1;-1;;Himalayas
281;3914;impassable;-1;-1;-1;-1;-1;;Himalayas
2424;3914;impassable;-1;-1;-1;-1;-1;;Himalayas
2424;168;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（林芝到印度）
2714;177;impassable;-1;-1;-1;-1;-1;;Himalayas
3849;177;impassable;-1;-1;-1;-1;-1;;Himalayas
2129;1061;impassable;-1;-1;-1;-1;-1;;Himalayas
301;3117;impassable;-1;-1;-1;-1;-1;;Himalayas
2043;3117;impassable;-1;-1;-1;-1;-1;;Himalayas
3880;4756;impassable;-1;-1;-1;-1;-1;;Himalayas
12;282;impassable;-1;-1;-1;-1;-1;;Himalayas
12;2936;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（蒙古到兴安）
2275;600;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2275;2965;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（锡林格勒到兴安）
1518;2965;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1518;186;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3508;186;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3508;2411;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1745;2411;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（锡林格勒到赤峰）
1745;2093;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3145;2093;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3145;3108;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;3108;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;1800;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;1450;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2206;1450;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2206;2060;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1067;2060;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1067;1041;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1750;1041;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（阿富汗到巴基斯坦）
934;1358;impassable;-1;-1;-1;-1;-1;;Afghanistan
934;2751;impassable;-1;-1;-1;-1;-1;;Afghanistan
1032;2751;impassable;-1;-1;-1;-1;-1;;Afghanistan
1259;367;impassable;-1;-1;-1;-1;-1;;Afghanistan
1259;3730;impassable;-1;-1;-1;-1;-1;;Afghanistan
1742;3730;impassable;-1;-1;-1;-1;-1;;Afghanistan

329;1917;impassable;-1;-1;-1;-1;-1;;Afghanistan
1211;1917;impassable;-1;-1;-1;-1;-1;;Afghanistan
3121;1917;impassable;-1;-1;-1;-1;-1;;Afghanistan
3121;1672;impassable;-1;-1;-1;-1;-1;;Afghanistan
400;1672;impassable;-1;-1;-1;-1;-1;;Afghanistan

#禁止通行区（阿富汗到中亚）
934;2126;impassable;-1;-1;-1;-1;-1;;Afghanistan
934;1298;impassable;-1;-1;-1;-1;-1;;Afghanistan
934;1139;impassable;-1;-1;-1;-1;-1;;Afghanistan
1032;1139;impassable;-1;-1;-1;-1;-1;;Afghanistan
2196;1139;impassable;-1;-1;-1;-1;-1;;Afghanistan
2196;3658;impassable;-1;-1;-1;-1;-1;;Afghanistan
2196;296;impassable;-1;-1;-1;-1;-1;;Afghanistan
1798;296;impassable;-1;-1;-1;-1;-1;;Afghanistan
1798;2558;impassable;-1;-1;-1;-1;-1;;Afghanistan
1798;338;impassable;-1;-1;-1;-1;-1;;Afghanistan
1923;338;impassable;-1;-1;-1;-1;-1;;Afghanistan
777;338;impassable;-1;-1;-1;-1;-1;;Afghanistan

#禁止通行区（新疆到中亚）
1341;2126;impassable;-1;-1;-1;-1;-1;;Sinkiang
2518;2126;impassable;-1;-1;-1;-1;-1;;Sinkiang
502;2126;impassable;-1;-1;-1;-1;-1;;Sinkiang
502;1676;impassable;-1;-1;-1;-1;-1;;Sinkiang

1208;768;impassable;-1;-1;-1;-1;-1;;Sinkiang
3024;768;impassable;-1;-1;-1;-1;-1;;Sinkiang
3024;155;impassable;-1;-1;-1;-1;-1;;Sinkiang
3613;155;impassable;-1;-1;-1;-1;-1;;Sinkiang
3613;2328;impassable;-1;-1;-1;-1;-1;;Sinkiang
1114;2328;impassable;-1;-1;-1;-1;-1;;Sinkiang
648;2328;impassable;-1;-1;-1;-1;-1;;Sinkiang
648;1058;impassable;-1;-1;-1;-1;-1;;Sinkiang
717;1058;impassable;-1;-1;-1;-1;-1;;Sinkiang

#南通到崇明；崇明到上海
3800;1271;sea;4642;-1;-1;-1;-1;;-1
1271;3815;sea;4642;1640;1029;1640;1025;;-1

#宁波到舟山
3319;4282;sea;4642;-1;-1;-1;-1;;-1
3319;4283;sea;4673;-1;-1;-1;-1;;-1

#南京过江
2941;2957;sea;4717;1562;1048;1562;1043;;-1

#安庆到池州
3847;2246;sea;4716;1496;990;1499;990;;-1

#武汉过江
2141;3846;sea;4715;1424;1001;1424;998;;-1

#宜昌过江
3835;899;sea;4714;1341;995;1341;992;;-1

#重庆过江
1120;3050;sea;4714;1212;977;1212;974;;-1

#湛江到海南
4223;4225;sea;4617;-1;-1;-1;-1;;-1

#澎湖到台南
2918;5089;sea;4454;-1;-1;-1;-1;;-1

#大小金门
5090;5091;sea;4644;-1;-1;-1;-1;;-1

#马祖到莒光
5092;5093;sea;4439;-1;-1;-1;-1;;-1

#香港
2877;4290;sea;4564;-1;-1;-1;-1;;-1
2877;4291;sea;4564;1419;744;1419;743;;-1

#韩国到济州岛
547;4277;sea;4634;-1;-1;-1;-1;;-1

#本州到四国
2274;2200;sea;4633;-1;-1;-1;-1;;-1

#本州到九州
2672;537;sea;4633;-1;-1;-1;-1;;-1

#九州到四国
2512;1769;sea;4633;-1;-1;-1;-1;;-1

#本州到淡路岛
2373;4276;sea;4633;-1;-1;-1;-1;;-1

#淡路岛到四国
4276;987;sea;4633;-1;-1;-1;-1;;-1

#九州到种子岛
2213;4279;sea;4566;-1;-1;-1;-1;;-1

#九州到天草群岛
2247;4278;sea;4566;-1;-1;-1;-1;;-1

#种子岛到屋久岛
4280;4279;sea;4566;-1;-1;-1;-1;;-1

#九州到对马岛
3772;4275;sea;4634;-1;-1;-1;-1;;-1;TSUSHIMA_TUNNEL_EAST;TsushimaTunnelE

#朝鲜到对马岛
971;2409;sea;4669;-1;-1;-1;-1;;-1;TSUSHIMA_TUNNEL_WEST;TsushimaTunnelW

#冲绳
4284;4285;sea;4568;-1;-1;-1;-1;;-1
4288;4289;sea;4660;-1;-1;-1;-1;;-1

#本州到佐渡岛
2665;4274;sea;4681;-1;-1;-1;-1;;-1

#北海道到本州
947;1395;sea;4664;-1;-1;-1;-1;;-1

#北海道到萨哈林
1740;902;sea;4358;-1;-1;-1;-1;;-1

#大陆到萨哈林
1856;2012;sea;4553;-1;-1;-1;-1;;-1

#北海道到北方四岛
393;4273;sea;4555;-1;-1;-1;-1;;-1

#北方四岛之间
4273;4272;sea;4697;-1;-1;-1;-1;;-1
4272;4271;sea;4615;-1;-1;-1;-1;;-1

#安达曼群岛
4299;4303;sea;4491;-1;-1;-1;-1;;-1

#中吕宋到南吕宋
2677;1224;sea;4603;-1;-1;-1;-1;;-1
796;4300;sea;4603;-1;-1;-1;-1;;-1

#米沙鄢
1780;1332;sea;4612;-1;-1;-1;-1;;-1
1332;4302;sea;4612;-1;-1;-1;-1;;-1
3159;4302;sea;4612;-1;-1;-1;-1;;-1

#萨马岛到吕宋岛
150;2123;sea;4544;-1;-1;-1;-1;;-1

#萨马岛到棉兰老岛
133;1427;sea;4612;-1;-1;-1;-1;;-1

#萨马岛到马斯巴特
150;4301;sea;4612;-1;-1;-1;-1;;-1

#萨马岛到米沙鄢
150;3159;sea;4544;-1;-1;-1;-1;;-1

#长江口
4717;4642;;-1;-1;-1;-1;-1;CHANGJIANGKOU_NORTH;Changjiangkou N
4717;4642;;-1;-1;-1;-1;-1;CHANGJIANGKOU_SOUTH;Changjiangkou S

#珠江口
4649;4564;;-1;-1;-1;-1;-1;ZHUJIANGKOU;ZHUJIANGKOU

#厦门到金门
4061;5090;sea;4644;-1;-1;-1;-1;;-1
4061;5091;sea;4644;-1;-1;-1;-1;;-1

#连江到马祖
5092;3992;sea;4439;-1;-1;-1;-1;;-1

#铜陵过江
1826;3836;sea;4716;-1;-1;-1;-1;;-1

#扬州到镇江
3068;3802;sea;4717;-1;-1;-1;-1;;-1